id;xid;yid;zid;ax;ay;az;bx;by;bz;cx;cy;cz
4479;2006;2032;2030;7,278374195;9,640573502;-0,6999981403;7,278061867;9,641093254;-0,6999981403;7,274028301;9,641093254;-0,6999981403
4480;2006;2031;2032;7,278374195;9,640573502;-0,6999981403;7,350520611;9,641093254;-0,6999981403;7,278061867;9,641093254;-0,6999981403
6497;2030;2032;3226;7,274028301;9,641093254;-0,6999981403;7,278061867;9,641093254;-0,6999981403;7,553385258;9,864178658;-1,144778013
6496;2031;3226;2032;7,350520611;9,641093254;-0,6999981403;7,553385258;9,864178658;-1,144778013;7,278061867;9,641093254;-0,6999981403
